num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;     60;  0.0958;    1.0;    1.0;  5.19e-07;
         1;  0.0000;   3;      5;  0.0149;    1.0;    1.0;  4.70e-46;
         1;  0.0000;   7;   3500;  0.0617;    1.0;    1.0;  2.80e-04;
         1;  0.0100;   1;     47;  0.0803;    1.0;    1.0;  2.65e-02;
         1;  0.0100;   3;     49;  0.1041;    1.0;    1.0;  2.65e-02;
         1;  0.0100;   7;   1500;  0.0279;    1.0;    1.0;  5.10e-02;
         1;  0.1000;   1;     21;  0.0506;    1.0;    1.0;  9.38e-02;
         1;  0.1000;   3;     15;  0.0473;    1.0;    1.0;  9.38e-02;
         1;  0.1000;   7;   4125;  0.0725;    0.8;    1.0;  1.86e-01;
         2;  0.0000;   1;    339;  0.4310;    1.0;    1.0;  1.02e-06;
         2;  0.0000;   3;     89;  0.1576;    1.0;    1.0;  4.00e-03;
         2;  0.0000;   7;   1625;  0.0285;    1.0;    1.0;  4.44e-03;
         2;  0.0100;   1;    132;  0.2142;    1.0;    1.0;  5.01e-02;
         2;  0.0100;   3;     54;  0.1130;    1.0;    1.0;  5.01e-02;
         2;  0.0100;   7;   1875;  0.0401;    1.0;    1.0;  8.26e-02;
         2;  0.1000;   1;     32;  0.0572;    0.9;    0.9;  1.31e-01;
         2;  0.1000;   3;     18;  0.0442;    0.9;    0.9;  1.31e-01;
         2;  0.1000;   7;   1750;  0.0306;    0.5;    0.9;  2.73e-01;
         3;  0.0000;   1;    697;  0.8743;    1.0;    1.0;  1.54e-06;
         3;  0.0000;   3;    264;  0.4457;    1.0;    1.0;  7.63e-23;
         3;  0.0000;   7;   1750;  0.0308;    1.0;    1.0;  8.05e-03;
         3;  0.0100;   1;    219;  0.2918;    1.0;    1.0;  6.82e-02;
         3;  0.0100;   3;     54;  0.1159;    1.0;    1.0;  6.82e-02;
         3;  0.0100;   7;   1500;  0.0338;    0.9;    1.0;  1.53e-01;
         3;  0.1000;   1;     50;  0.0856;    1.0;    1.0;  1.64e-01;
         3;  0.1000;   3;     19;  0.0481;    1.0;    1.0;  1.64e-01;
         3;  0.1000;   7;   3375;  0.0589;    0.5;    0.9;  3.00e-01;
         4;  0.0000;   1;     59;  0.0895;    1.0;    1.0;  4.48e-07;
         4;  0.0000;   3;      5;  0.0133;    1.0;    1.0;  3.27e-107;
         4;  0.0000;   7;   2625;  0.0468;    1.0;    1.0;  1.33e-02;
         4;  0.0100;   1;     48;  0.0825;    1.0;    1.0;  2.60e-02;
